204.84.10.4	a4:d1:d2:52:17:1a	Apple, Inc.
204.84.10.29	a4:e4:b8:74:e3:a6	BlackBerry RTS
204.84.10.48	a4:5e:60:c6:ac:d5	Apple, Inc.
204.84.9.150	00:ae:fa:70:4d:b7	Murata Manufacturing Co., Ltd.
204.84.10.58	f4:5c:89:8e:fe:c5	(Unknown)
204.84.10.60	80:19:34:47:e9:79	Intel Corporate
204.84.10.63	dc:53:60:db:df:30	Intel Corporate
204.84.10.12	ac:cf:85:01:74:18	HUAWEI TECHNOLOGIES CO.,LTD
204.84.10.76	a4:34:d9:47:e5:e6	Intel Corporate
204.84.9.187	08:74:02:95:c4:cf	Apple, Inc.
204.84.10.79	94:db:c9:48:80:eb	AzureWave Technology Inc.
204.84.10.80	10:ae:60:99:46:8f	Private
204.84.10.56	dc:86:d8:bf:42:14	Apple, Inc.
204.84.10.96	18:20:32:8c:19:6c	Apple, Inc.
204.84.9.253	64:bc:0c:44:9f:c3	LG Electronics
204.84.10.51	4c:34:88:29:8e:84	Intel Corporate
204.84.9.146	a0:3b:e3:bb:a5:10	(Unknown)
204.84.10.101	00:9c:02:cd:a7:43	Hewlett Packard
204.84.10.89	34:4d:f7:7b:18:f1	LG Electronics
204.84.10.104	34:23:ba:c5:dc:a2	Samsung Electro Mechanics co.,LTD.
204.84.10.62	78:f8:82:ce:13:99	LG Electronics (Mobile Communications)
204.84.10.114	78:d7:5f:b5:fe:1d	Apple, Inc.
204.84.9.151	5c:ad:cf:0d:48:ed	Apple, Inc.
204.84.10.121	a0:88:b4:5d:27:20	Intel Corporate
204.84.10.97	ac:bc:32:7b:2f:95	Apple, Inc.
204.84.8.242	98:fe:94:99:39:d7	Apple, Inc.
204.84.10.107	28:6a:ba:e2:6a:44	Apple, Inc.
204.84.10.136	30:52:cb:80:7a:61	Liteon Technology Corporation
204.84.10.65	4c:32:75:0f:72:62	(Unknown)
204.84.10.100	2c:be:08:e5:c7:cc	Apple, Inc.
204.84.10.149	c0:33:5e:34:9c:37	Microsoft
204.84.10.78	dc:ee:06:fd:bd:0f	(Unknown)
204.84.9.94	10:a5:d0:f8:87:21	Murata Manufacturing Co., Ltd.
204.84.10.151	34:02:86:a7:4d:f1	Intel Corporate
204.84.9.251	10:ae:60:16:e8:c7	Private
204.84.10.148	e8:2a:ea:15:9e:c4	Intel Corporate
204.84.10.200	00:19:7e:76:81:d9	Hon Hai Precision Ind. Co.,Ltd.
204.84.10.154	a0:3b:e3:43:a7:42	(Unknown)
204.84.10.211	94:44:44:32:95:b3	LG Innotek
204.84.10.195	10:41:7f:26:b9:0c	Apple, Inc.
204.84.10.192	f4:31:c3:2a:ff:db	Apple, Inc.
204.84.10.212	54:26:96:d2:96:9f	Apple, Inc.
204.84.10.232	34:14:5f:b8:2c:8f	(Unknown)
204.84.10.245	4c:8d:79:e3:30:d0	Apple, Inc.
204.84.10.196	ac:cf:85:b4:da:8e	HUAWEI TECHNOLOGIES CO.,LTD
204.84.10.230	2c:f0:ee:01:70:04	Apple, Inc.
204.84.11.14	00:26:c6:87:6d:50	Intel Corporate
204.84.11.27	d8:30:62:5d:da:87	Apple, Inc.
204.84.11.10	ac:bc:32:a9:86:e3	Apple, Inc.
204.84.11.23	d4:f4:6f:31:26:36	Apple, Inc.
204.84.10.252	84:10:0d:71:b2:1e	Motorola Mobility LLC, a Lenovo Company
204.84.11.21	6c:c2:17:21:92:77	Hewlett Packard
204.84.11.25	80:e6:50:18:81:9c	Apple, Inc.
204.84.11.52	c0:ee:fb:28:87:90	OnePlus Tech (Shenzhen) Ltd
204.84.11.56	34:e6:ad:a7:b8:77	Intel Corporate
204.84.11.58	f0:b4:79:1d:53:b2	Apple, Inc.
204.84.11.84	f8:1e:df:ee:45:ec	Apple, Inc.
204.84.11.48	2c:be:08:45:94:87	Apple, Inc.
204.84.11.80	88:33:14:09:cd:ed	Texas Instruments
204.84.11.91	a0:99:9b:10:30:57	Apple, Inc.
204.84.11.78	30:63:6b:b7:22:5c	(Unknown)
204.84.11.40	14:10:9f:e8:d2:a2	Apple, Inc.
204.84.11.90	34:fc:ef:a3:07:29	LG Electronics
204.84.11.94	78:0c:b8:81:2e:87	Intel Corporate
204.84.11.89	60:f1:89:7c:0c:00	Murata Manufacturing Co., Ltd.
204.84.11.110	b8:3e:59:b3:0b:5b	Roku, Inc.
204.84.11.118	cc:20:e8:16:34:90	Apple, Inc.
204.84.9.177	fc:db:b3:4f:5a:ca	Murata Manufacturing Co., Ltd.
204.84.11.103	88:53:95:24:99:86	Apple, Inc.
204.84.11.77	b8:53:ac:9a:f9:82	(Unknown)
204.84.11.124	f0:24:75:6e:d2:d6	Apple, Inc.
204.84.11.132	a0:88:b4:32:72:c0	Intel Corporate
204.84.11.135	5c:c5:d4:a3:b7:5e	Intel Corporate
204.84.11.101	f4:5c:89:c0:0f:c7	(Unknown)
204.84.11.140	74:a5:28:16:65:08	HUAWEI TECHNOLOGIES CO.,LTD
204.84.10.204	64:89:9a:86:57:20	LG Electronics
204.84.11.113	30:75:12:f0:1f:8f	Sony Mobile Communications AB
204.84.11.104	34:36:3b:60:9b:0e	Apple, Inc.
204.84.11.151	44:1c:a8:e1:29:55	Hon Hai Precision Ind. Co.,Ltd.
204.84.11.114	ac:fd:ec:59:1b:b9	Apple, Inc.
204.84.11.150	2c:f0:a2:b4:24:db	(Unknown)
