10.38.32.1	00:1b:17:00:0b:27	Palo Alto Networks
10.38.39.149	78:d7:5f:b3:bc:9c	(Unknown)
10.38.38.190	ac:5f:3e:50:b0:8a	(Unknown) (DUP: 2)
10.38.40.5	6c:fa:a7:29:b1:14	(Unknown)
10.38.39.238	98:e7:f5:a1:f9:5b	(Unknown)
10.38.39.217	70:48:0f:ca:bc:ce	(Unknown)
10.38.40.43	68:07:15:db:06:f0	(Unknown)
10.38.40.31	64:89:9a:83:b1:6a	(Unknown) (DUP: 2)
10.38.39.254	90:b6:86:2b:dc:82	(Unknown)
10.38.40.68	70:3e:ac:17:e7:6a	(Unknown)
10.38.38.227	ac:5f:3e:7c:c9:74	(Unknown)
10.38.38.130	f4:09:d8:ad:97:9a	(Unknown) (DUP: 2)
10.38.38.232	4c:66:41:1d:9d:b0	(Unknown) (DUP: 2)
10.38.39.64	40:4d:7f:d6:f1:2d	(Unknown)
10.38.39.254	90:b6:86:2b:dc:82	(Unknown) (DUP: 2)
10.38.39.193	f4:f1:e1:29:80:ca	(Unknown)
10.38.39.49	4c:66:41:bf:0c:c9	(Unknown) (DUP: 3)
10.38.40.65	1c:5c:f2:89:b9:bd	(Unknown)
10.38.40.93	3c:a9:f4:53:a3:78	Intel Corporate
10.38.40.14	0c:3e:9f:5c:47:cc	(Unknown)
10.38.38.172	98:f1:70:3d:a9:be	(Unknown) (DUP: 2)
10.38.40.10	90:60:f1:84:3e:e0	(Unknown)
10.38.40.36	7c:d1:c3:95:0e:32	Apple Inc
10.38.40.60	fc:c2:de:f2:ad:24	(Unknown)
10.38.40.45	40:0e:85:23:d7:b2	Samsung Electro Mechanics co.,LTD.
10.38.38.211	4c:66:41:1d:8b:aa	(Unknown) (DUP: 2)
10.38.40.60	fc:c2:de:f2:ad:24	(Unknown) (DUP: 2)
10.38.38.233	84:38:38:6c:d7:94	(Unknown)
10.38.39.35	18:f6:43:8f:f1:a8	(Unknown)
10.38.40.121	a4:b8:05:ab:54:12	(Unknown)
10.38.39.211	fc:db:b3:1b:e8:43	(Unknown)
10.38.40.52	00:cd:fe:24:9c:69	(Unknown)
10.38.40.95	18:21:95:44:c4:97	(Unknown)
10.38.40.97	78:9f:70:b7:62:d9	(Unknown)
10.38.40.45	40:0e:85:23:d7:b2	Samsung Electro Mechanics co.,LTD. (DUP: 2)
10.38.40.0	78:7e:61:7c:61:2f	(Unknown)
10.38.40.114	90:b6:86:58:86:a5	(Unknown)
10.38.39.168	a4:08:ea:7b:e6:4a	(Unknown)
10.38.39.238	98:e7:f5:a1:f9:5b	(Unknown) (DUP: 2)
10.38.40.114	90:b6:86:58:86:a5	(Unknown) (DUP: 2)
10.38.40.136	18:f6:43:78:8b:09	(Unknown)
10.38.39.234	60:f1:89:e5:0c:c3	(Unknown)
10.38.39.175	b4:ae:2b:37:f2:e9	(Unknown)
10.38.39.239	fc:db:b3:1c:0f:a8	(Unknown)
10.38.39.239	fc:db:b3:1c:0f:a8	(Unknown) (DUP: 2)
10.38.40.113	4c:7c:5f:a0:dc:3c	(Unknown)
